"key","species","kingdom","phylum","class","order","family","genus","n_pts","n_rawpts","n_sdmpts"
135146,"Cladocora caespitosa","Animalia","Cnidaria","Anthozoa","Scleractinia","Cladocoridae","Cladocora",435,3081,729
125334,"Alcyonium palmatum","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",235,418,260
125416,"Corallium rubrum","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Corallium",564,5366,709
135210,"Oculina patagonica","Animalia","Cnidaria","Anthozoa","Scleractinia","Oculinidae","Oculina",64,325,110
132159,"Alcyonium glomeratum","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",399,4249,493
125343,"Scyphopodium ingolfi","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Tubiporidae","Scyphopodium",1,2,2
289303,"Abyssopathes lyra","Animalia","Cnidaria","Anthozoa","Antipatharia","Cladopathidae","Abyssopathes",1,1,17
135179,"Balanophyllia (Balanophyllia) cellulosa","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia",10,57,29
291112,"Stauropathes punctata","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Stauropathes",6,15,6
135192,"Leptopsammia formosa","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Leptopsammia",14,33,23
125404,"Villogorgia bebrycoides","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Villogorgia",20,59,30
128533,"Umbellula thomsoni","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Umbellulidae","Umbellula",16,22,20
135197,"Flabellum (Ulocyathus) macandrewi","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum",59,168,77
183476,"Umbellula durissima","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Umbellulidae","Umbellula",5,10,6
135178,"Astroides calycularis","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Astroides",104,384,132
103328,"Parantipathes larix","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Parantipathes",6,22,16
125369,"Leptogorgia sarmentosa","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Gorgoniidae","Leptogorgia",169,1567,200
125356,"Radicipes challengeri","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Radicipes",16,37,16
125387,"Paramuricea clavata","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Paramuricea",390,6943,473
125400,"Swiftia dubia","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Plexauridae","Swiftia",20,32,29
125395,"Placogorgia massiliensis","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Placogorgia",4,7,5
128531,"Umbellula lindahli","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Umbellulidae","Umbellula",25,99,37
125423,"Cornularia cornucopiae","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Cornulariidae","Cornularia",13,40,31
125365,"Eunicella singularis","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Eunicellidae","Eunicella",359,4204,458
128517,"Pennatula phosphorea","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Pennatulidae","Pennatula",941,5522,1151
128515,"Pennatula aculeata","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Pennatulidae","Pennatula",31,48,59
125414,"Anthothela grandiflora","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Anthothela",25,41,32
128514,"Gyrophyllum hirondellei","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","0","Gyrophyllum",5,8,9
565324,"Dendrobrachia bonsai","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Dendrobrachiidae","Dendrobrachia",4,5,4
103325,"Leiopathes expansa","Animalia","Cnidaria","Anthozoa","Antipatharia","Leiopathidae","Leiopathes",3,4,3
128519,"Pennatula rubra","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Pennatulidae","Pennatula",98,185,107
135180,"Balanophyllia (Balanophyllia) europaea","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia",326,2796,431
286030,"Sarcodictyon catenatum","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Sarcodictyonidae","Sarcodictyon",26,55,41
125403,"Thesea talismani","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Malacalcyonacea incertae sedis","Thesea",1,1,1
128512,"Kophobelemnon stelliferum","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Kophobelemnidae","Kophobelemnon",344,914,383
128539,"Virgularia mirabilis","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Virgulariidae","Virgularia",1502,8519,1998
1608729,"Callistephanus pallida","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Gorgoniidae","Callistephanus",153,1101,232
125421,"Paralcyonium spinulosum","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paralcyoniidae","Paralcyonium",11,53,18
125361,"Eunicella cavolini","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Eunicellidae","Eunicella",362,6266,474
286778,"Cladocora arbuscula","Animalia","Cnidaria","Anthozoa","Scleractinia","Cladocoridae","Cladocora",0,1,1
125389,"Paramuricea macrospina","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Paramuricea",82,211,90
1369615,"Balanophyllia italica","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia",0,3,4
125338,"Clavularia crassa","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Clavulariidae","Clavularia",45,131,65
207486,"Platygyra sinensis","Animalia","Cnidaria","Anthozoa","Scleractinia","Merulinidae","Platygyra",0,0,7
883025,"Heteropathes opreski","Animalia","Cnidaria","Anthozoa","Antipatharia","Cladopathidae","Heteropathes",0,0,2
288363,"Culicia stellata","Animalia","Cnidaria","Anthozoa","Scleractinia","Rhizangiidae","Culicia",0,0,0
287376,"Alcyonium profundum","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",0,4,1
125357,"Radicipes gracilis","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Radicipes",3,5,5
125396,"Placogorgia terceira","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Placogorgia",13,26,19
286147,"Chrysogorgia squamata","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Chrysogorgia",1,2,1
177844,"Isidella longiflora","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Isidella",2,8,5
125410,"Paracalyptrophora josephinae","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Primnoidae","Paracalyptrophora",21,90,40
955838,"Alcyonium burmedju","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",5,12,5
287088,"Fungiacyathus (Bathyactis) symmetricus","Animalia","Cnidaria","Anthozoa","Scleractinia","Fungiacyathidae","Fungiacyathus",0,15,14
512137,"Bathelia candida","Animalia","Cnidaria","Anthozoa","Scleractinia","Oculinidae","Bathelia",0,3,3
1361211,"Caryophyllia cylindracea","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",0,5,5
173023,"Caryophyllia (Caryophyllia) profunda","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",0,2,2
135184,"Dendrophyllia alternata","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Dendrophyllia",3,23,6
125418,"Paragorgia arborea","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Paragorgia",43,760,79
125419,"Paragorgia johnsoni","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Paragorgia",6,22,8
125351,"Chrysogorgia agassizii","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Chrysogorgia",14,34,21
125409,"Narella versluysi","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Primnoidae","Narella",31,445,34
472931,"Stichopathes gravieri","Animalia","Cnidaria","Anthozoa","Antipatharia","Antipathidae","Stichopathes",10,397,19
135140,"Caryophyllia (Caryophyllia) foresti","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",10,29,20
289447,"Antipathella subpinnata","Animalia","Cnidaria","Anthozoa","Antipatharia","Myriopathidae","Antipathella",34,114,53
125381,"Dentomuricea meteor","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Dentomuricea",2,14,7
125413,"Thouarella (Euthouarella) hilgendorfi","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Primnoidae","Thouarella",6,12,7
992956,"Zibrowius primnoidus","Animalia","Cnidaria","Anthozoa","Zoantharia","Parazoanthidae","Zibrowius",4,8,4
101036,"Epizoanthus paguriphilus","Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus",0,21,20
992954,"Zibrowius alberti","Animalia","Cnidaria","Anthozoa","Zoantharia","Parazoanthidae","Zibrowius",4,8,4
1580310,"Phanopathes erinaceus","Animalia","Cnidaria","Anthozoa","Antipatharia","Aphanipathidae","Phanopathes",3,4,3
283853,"Epizoanthus fatuus","Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus",0,2,1
135176,"Trochocyathus (Trochocyathus) spinosocostatus","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Trochocyathus",1,6,2
101018,"Nectactis singularis","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Sideractinidae","Nectactis",14,46,22
125386,"Paramuricea candida","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Paramuricea",3,4,5
286154,"Iridogorgia magnispiralis","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Iridogorgia",0,0,0
724721,"Pseudoanthomastus agaricus","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Pseudoanthomastus",16,32,19
1311257,"Hemicorallium niobe","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Hemicorallium",6,11,7
1311281,"Pleurocorallium johnsoni","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Pleurocorallium",10,22,13
291111,"Stauropathes arctica","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Stauropathes",18,31,21
287347,"Alcyonium bocagei","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",8,53,11
711008,"Clavularia tenuis","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Clavulariidae","Clavularia",3,4,3
283832,"Corallimorphus rigidus","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Corallimorphidae","Corallimorphus",0,4,3
286034,"Telestula kuekenthali","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Sarcodictyonidae","Telestula",0,2,1
1045586,"Lateothela grandiflora","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Lateothela",5,13,6
125376,"Keratoisis grayi","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Keratoisis",5,8,7
289518,"Bellonella tenuis","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Bellonella",1,1,1
177823,"Chrysogorgia elegans","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Chrysogorgia",3,3,3
125354,"Iridogorgia pourtalesii","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Iridogorgia",1,1,1
724722,"Pseudoanthomastus mariejoseae","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Pseudoanthomastus",2,2,2
286118,"Chrysogorgia fewkesii","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Chrysogorgiidae","Chrysogorgia",1,1,1
291296,"Victorgorgia josephinae","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Victorgorgiidae","Victorgorgia",0,0,1
103323,"Bathypathes patula","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Bathypathes",13,33,17
125363,"Eunicella gazella","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Eunicellidae","Eunicella",13,35,20
125332,"Alcyonium coralloides","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",184,1641,227
125333,"Alcyonium digitatum","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium",3821,69440,4858
125364,"Eunicella labiata","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Eunicellidae","Eunicella",4,12,6
101025,"Epizoanthus couchii","Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus",602,5127,774
128528,"Protoptilum thomsonii","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Protoptilidae","Protoptilum",17,37,18
101054,"Parazoanthus anguicomus","Animalia","Cnidaria","Anthozoa","Zoantharia","Parazoanthidae","Parazoanthus",160,1099,194
101023,"Epizoanthus arenaceus","Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus",73,248,101
763067,"Goniastrea stelligera","Animalia","Cnidaria","Anthozoa","Scleractinia","Merulinidae","Goniastrea",0,0,0
128537,"Stylatula elegans","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Virgulariidae","Stylatula",67,135,118
290045,"Gorgonia ventalina","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Gorgoniidae","Gorgonia",2,5,5
101053,"Isozoanthus sulcatus","Animalia","Cnidaria","Anthozoa","Zoantharia","Parazoanthidae","Isozoanthus",240,1869,339
287022,"Flabellum (Flabellum) pavoninum","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum",0,9,9
759255,"Eknomisis dalioi","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Eknomisis",1,2,1
128535,"Cavernularia pusilla","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Veretillidae","Cavernularia",5,40,11
581617,"Palythoa arenacea","Animalia","Cnidaria","Anthozoa","Zoantharia","Sphenopidae","Palythoa",0,7,11
207246,"Porites lutea","Animalia","Cnidaria","Anthozoa","Scleractinia","Poritidae","Porites",0,0,4
135183,"Cladopsammia rolandi","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Cladopsammia",3,7,4
291251,"Tubastraea coccinea","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Tubastraea",0,0,4
207366,"Galaxea fascicularis","Animalia","Cnidaria","Anthozoa","Scleractinia","Euphylliidae","Galaxea",0,0,45
125420,"Maasella edwardsii","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paralcyoniidae","Maasella",60,351,68
283943,"Bathypathes bifida","Animalia","Cnidaria","Anthozoa","Antipatharia","Schizopathidae","Bathypathes",1,1,1
286910,"Balanophyllia (Balanophyllia) cornu","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia",0,0,0
135173,"Tethocyathus variabilis","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Tethocyathus",2,3,4
286032,"Telestula batoni","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Sarcodictyonidae","Telestula",0,2,1
287652,"Calyptrophora clinata","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Primnoidae","Calyptrophora",1,4,3
125359,"Nicella granifera","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Ellisellidae","Nicella",2,3,14
286012,"Anthomastus canariensis","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Anthomastus",7,10,7
125335,"Anthomastus grandiflorus","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Anthomastus",11,66,24
289519,"Bellonella variabilis","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Bellonella",0,3,2
157967,"Astrangia poculata","Animalia","Cnidaria","Anthozoa","Scleractinia","Astrangiidae","Astrangia",0,0,1
177838,"Narella bellissima","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Primnoidae","Narella",16,40,17
101035,"Epizoanthus paguricola","Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus",6,11,11
101043,"Epizoanthus vagus","Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus",0,4,5
290495,"Notisis elongata","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Mopseidae","Notisis",0,0,0
125398,"Spinimuricea klavereni","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Paramuriceidae","Spinimuricea",2,9,4
286727,"Caryophyllia (Caryophyllia) antillarum","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia",0,0,1
1311244,"Hemicorallium bayeri","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Coralliidae","Hemicorallium",1,2,1
1428262,"Trissopathes grasshoffi","Animalia","Cnidaria","Anthozoa","Antipatharia","Cladopathidae","Trissopathes",3,9,4
101038,"Epizoanthus paxii","Animalia","Cnidaria","Anthozoa","Zoantharia","Epizoanthidae","Epizoanthus",29,82,38
101019,"Sideractis glacialis","Animalia","Cnidaria","Anthozoa","Corallimorpharia","Sideractinidae","Sideractis",4,16,12
156103,"Gersemia rubiformis","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Gersemia",19,344,25
290548,"Oulastrea crispata","Animalia","Cnidaria","Anthozoa","Scleractinia","Oulastreidae","Oulastrea",1,2,1
209618,"Sarcophyton trocheliophorum","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Sarcophytidae","Sarcophyton",0,0,2
815620,"Parazoanthus juan-fernandezii","Animalia","Cnidaria","Anthozoa","Zoantharia","Parazoanthidae","Parazoanthus",1,4,1
286416,"Swiftia exserta","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Plexauridae","Swiftia",0,1,1
289919,"Erythropodium caribaeorum","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Erythropodiidae","Erythropodium",0,2,1
207507,"Turbinaria reniformis","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Turbinaria",0,1,85
