"AphiaID","scientificName","scientificNameMatched","scientificNameWWF","sdm_result","vernacularName","listedIn","annex","note","rank","status","kingdom","phylum","class","order","family","genus","isMarine","isBrackish","isFreshwater","isTerrestrial","gbif_speciesKey","gbif_scientificName"
271422,"Pristis clavata","Pristis clavata","Pristis clavata","available","Dwarf sawfish","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,5216282,"Pristis clavata Garman, 1906"
105848,"Pristis pectinata","Pristis pectinata","Pristis pectinata","available","Smalltooth sawfish","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,5216292,"Pristis pectinata Latham, 1794"
105849,"Pristis pristis","Pristis pristis","Pristis pristis","available","Largetooth sawfish","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Pristidae",NA,NA,NA,NA,NA,5216276,"Pristis pristis (Linnaeus, 1758)"
105837,"Cetorhinus maximus","Cetorhinus maximus","Cetorhinus maximus","available","Basking shark","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Lamniformes","Cetorhinidae",NA,NA,NA,NA,NA,2420726,"Cetorhinus maximus (Gunnerus, 1765)"
105838,"Carcharodon carcharias","Carcharodon carcharias","Carcharodon carcharias","available","White shark","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae",NA,NA,NA,NA,NA,2420694,"Carcharodon carcharias (Linnaeus, 1758)"
105912,"Etmopterus pusillus","Etmopterus pusillus","Etmopterus pusillus","available","Smooth lantern shark","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae",NA,NA,NA,NA,NA,2421031,"Etmopterus pusillus (Lowe, 1839)"
1042871,"Mobula alfredi","Manta alfredi","Manta alfredi","available","Reef manta ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419160,"Manta alfredi (Krefft, 1868)"
1026118,"Mobula birostris","Manta birostris","Manta birostris","available","Giant manta ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419163,"Manta birostris (Walbaum, 1792)"
105858,"Mobula mobular","Mobula mobular","Mobula mobular","unavailable","Devil fish","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419188,"Mobula mobular (Bonnaterre, 1788)"
271483,"Mobula rochebrunei","Mobula rochebrunei","Mobula rochebrunei","unavailable","Lesser Guinean devil ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419224,"Mobula rochebrunei (Vaillant, 1879)"
217430,"Mobula thurstoni","Mobula thurstoni","Mobula thurstoni","unavailable","Smoothtail mobula","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419218,"Mobula thurstoni (Lloyd, 1908)"
217434,"Mobula eregoodootenkee","Mobula eregoodootenkee","Mobula eregoodootenkee","unavailable","Longhorned mobula","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419206,"Mobula eregoodootenkee (Bleeker, 1859)"
105859,"Mobula tarapacana","Mobula tarapacana","Mobula tarapacana","unavailable","Chilean devil ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419179,"Mobula tarapacana (Philippi, 1892)"
217436,"Mobula kuhlii","Mobula kuhlii","Mobula kuhlii","unavailable","Shortfin devil ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419221,"Mobula kuhlii (Müller & Henle, 1841)"
158530,"Mobula hypostoma","Mobula hypostoma","Mobula hypostoma","available","Lesser devil ray","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Mobulidae",NA,NA,NA,NA,NA,2419210,"Mobula hypostoma (Bancroft, 1831)"
105871,"Dipturus nidarosiensis","Raja nidarosiensis","Raja (Dipturus) nidarosiensis","unavailable","Norwegian skate","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae",NA,NA,NA,NA,NA,5216139,"Raja nidarosiensis Storm, 1881"
105896,"Rostroraja alba","Raja alba","Raja alba","available","White skate","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae",NA,NA,NA,NA,NA,5216147,"Raja alba Lacepède, 1803"
105928,"Squatina squatina","Squatina squatina","Squatina squatina","unavailable","Angel shark","NRL","3",NA,"Species","accepted","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae",NA,NA,NA,NA,NA,2417781,"Squatina squatina (Linnaeus, 1758)"
127186,"Salmo salar","Salmo salar","Salmo salar","available","Salmon","NRL","3",NA,"Species","accepted","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,NA,NA,NA,NA,7595433,"Salmo salar Linnaeus, 1758"
127187,"Salmo trutta","Salmo trutta","Salmo trutta","available","Sea trout","NRL","3",NA,"Species","accepted","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,NA,NA,NA,NA,8215487,"Salmo trutta Linnaeus, 1758"
154238,"Coregonus oxyrinchus","Coregonus oxyrhynchus","Coregonus oxyrhynchus","unavailable","Houting","NRL","3",NA,"Species","accepted","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,NA,NA,NA,NA,2351155,"Coregonus oxyrinchus (Linnaeus, 1758)"
137080,"Halichoerus grypus","Halichoerus grypus","Halichoerus grypus","available","Grey Seal","HD","2",NA,"Species","accepted","Animalia","Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,2434806,"Halichoerus grypus (Fabricius, 1791)"
137081,"Monachus monachus","Monachus monachus","Monachus monachus","unavailable","Mediterranean monk seal","HD","2",NA,"Species","accepted","Animalia","Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,2434779,"Monachus monachus (Hermann, 1779)"
137084,"Phoca vitulina","Phoca vitulina","Phoca vitulina","available","Harbor seal","HD","2",NA,"Species","accepted","Animalia","Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,2434793,"Phoca vitulina Linnaeus, 1758"
137117,"Phocoena phocoena","Phocoena phocoena","Phocoena phocoena","available","Harbour porpoise","HD","2",NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Phocoenidae",NA,NA,NA,NA,NA,2440669,"Phocoena phocoena (Linnaeus, 1758)"
137111,"Tursiops truncatus","Tursiops truncatus","Tursiops truncatus","available","Common bottlenose dolphin","HD","2",NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae",NA,NA,NA,NA,NA,2440447,"Tursiops truncatus (Montagu, 1821)"
137205,"Caretta caretta","Caretta caretta","Caretta caretta","available","Loggerhead sea turtle","HD","2, 4",NA,"Species","accepted","Animalia","Chordata",NA,"Testudines","Cheloniidae",NA,NA,NA,NA,NA,8894817,"Caretta caretta (Linnaeus, 1758)"
137206,"Chelonia mydas","Chelonia mydas","Chelonia mydas","available","Green sea turtle","HD","2, 4",NA,"Species","accepted","Animalia","Chordata",NA,"Testudines","Cheloniidae",NA,NA,NA,NA,NA,2442225,"Chelonia mydas (Linnaeus, 1758)"
137208,"Lepidochelys kempii","Lepidochelys kempii","Lepidochelys kempii","available","Kemp's ridley sea turtle","HD","4",NA,"Species","accepted","Animalia","Chordata",NA,"Testudines","Cheloniidae",NA,NA,NA,NA,NA,2442165,"Lepidochelys kempii Garman, 1880"
137207,"Eretmochelys imbricata","Eretmochelys imbricata","Eretmochelys imbricata","available","Hawksbill sea turtle","HD","4",NA,"Species","accepted","Animalia","Chordata",NA,"Testudines","Cheloniidae",NA,NA,NA,NA,NA,8841716,"Eretmochelys imbricata (Linnaeus, 1766)"
137209,"Dermochelys coriacea","Dermochelys coriacea","Dermochelys coriacea","available","Leatherback sea turtle","HD","4",NA,"Species","accepted","Animalia","Chordata",NA,"Testudines","Dermochelyidae",NA,NA,NA,NA,NA,9789983,"Dermochelys coriacea (Vandelli, 1761)"
101174,"Petromyzon marinus","Petromyzon marinus","Petromyzon marinus","available","Sea lamprey
","HD","2","Except the Swedish populations","Species","accepted","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae",NA,NA,NA,NA,NA,8236498,"Petromyzon marinus Linnaeus, 1758"
126276,"Acipenser naccarii","Acipenser naccarii","Acipenser naccarii","unavailable","Adriatic sturgeon","HD","2, 4",NA,"Species","accepted","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,NA,NA,NA,NA,2402193,"Acipenser naccarii Bonaparte, 1836"
126279,"Acipenser sturio","Acipenser sturio","Acipenser sturio","unavailable","European sea sturgeon","HD","2, 4",NA,"Species","accepted","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae",NA,NA,NA,NA,NA,2402203,"Acipenser sturio Linnaeus, 1758"
1605284,"Apricaphanius iberus","Aphanius iberus","Aphanius iberus","unavailable","Spanish toothcarp","HD","2",NA,"Species","accepted","Animalia","Chordata","Teleostei","Cyprinodontiformes","Aphaniidae",NA,NA,NA,NA,NA,2348049,"Aphanius iberus (Valenciennes, 1846)"
126428,"Aphanius fasciatus","Aphanius fasciatus","Aphanius fasciatus","unavailable","Mediterranean killifish","HD","2",NA,"Species","accepted","Animalia","Chordata","Teleostei","Cyprinodontiformes","Cyprinodontidae",NA,NA,NA,NA,NA,2348104,"Aphanius fasciatus (Valenciennes, 1821)"
126901,"Knipowitschia panizzae","Knipowitschia panizzae","Knipowitschia (Padogobius) panizzae","unavailable","Knipowitschia panizzae","HD","2",NA,"Species","accepted","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae",NA,NA,NA,NA,NA,2375697,"Knipowitschia panizzae (Verga, 1841)"
1605283,"Ninnigobius canestrinii","Pomatoschistus canestrini","Pomatoschistus canestrini","unavailable","Canestrini's goby","HD","2",NA,"Species","accepted","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae",NA,NA,NA,NA,NA,2379274,"Pomatoschistus canestrinii (Ninni, 1883)"
1039848,"Steromphala nivosa","Gibbula nivosa","Gibbula nivosa","unavailable","Steromphala nivosa
","HD","2",NA,"Species","accepted","Animalia","Mollusca","Gastropoda","Trochida","Trochidae",NA,NA,NA,NA,NA,5724078,"Gibbula nivosa A.Adams, 1853"
715999,"Alisma wahlenbergii","Alisma wahlenbergii","Alisma wahlenbergii","unavailable","Baltic water-plantain","HD","2",NA,"Species","accepted","Plantae","Tracheophyta","Magnoliopsida","Alismatales","Alismataceae",NA,NA,NA,NA,NA,2865134,"Alisma wahlenbergii (Holmb.) Juz."
282185,"Pelecus cultratus","Pelecus cultratus","Pelecus cultratus","unavailable","Ziege","HD","5",NA,"Species","accepted","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,NA,NA,NA,NA,2367038,"Pelecus cultratus (Linnaeus, 1758)"
140679,"Patella ferruginea","Patella ferruginea","Patella ferruginea","unavailable","Ferruginous limpet","HD","5",NA,"Species","accepted","Animalia","Mollusca","Gastropoda",NA,"Patellidae",NA,NA,NA,NA,NA,5728503,"Patella ferruginea Gmelin, 1791"
140459,"Lithophaga lithophaga","Lithophaga lithophaga","Lithophaga lithophaga","available","Date mussel","HD","5",NA,"Species","accepted","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae",NA,NA,NA,NA,NA,4374632,"Lithophaga lithophaga (Linnaeus, 1758)"
140780,"Pinna nobilis","Pinna nobilis","Pinna nobilis","available","Noble pen shell","HD","5",NA,"Species","accepted","Animalia","Mollusca","Bivalvia","Ostreida","Pinnidae",NA,NA,NA,NA,NA,4374731,"Pinna nobilis Linnaeus, 1758"
159021,"Pusa hispida","Pusa hispida","Phoca hispida","available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,5219369,"Pusa hispida (Schreber, 1775)"
137086,"Balaena mysticetus","Balaena mysticetus",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Balaena",1,NA,NA,0,2440330,"Balaena mysticetus Linnaeus, 1758"
220222,"Eubalaena australis","Eubalaena australis",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Eubalaena",1,0,0,0,2440332,"Eubalaena australis (Desmoulins, 1822)"
159023,"Eubalaena glacialis","Eubalaena glacialis",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Eubalaena",1,NA,NA,0,2440339,"Eubalaena glacialis (Müller, 1776)"
254974,"Eubalaena japonica","Eubalaena japonica",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Eubalaena",1,NA,NA,0,9747921,"Eubalaena japonica (Lacépède, 1818)"
137087,"Balaenoptera acutorostrata","Balaenoptera acutorostrata",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera",1,NA,NA,0,2440728,"Balaenoptera acutorostrata Lacépède, 1804"
231405,"Balaenoptera bonaerensis","Balaenoptera bonaerensis",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera",1,NA,NA,0,7759914,"Balaenoptera bonaerensis Burmeister, 1867"
137088,"Balaenoptera borealis","Balaenoptera borealis",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera",1,NA,NA,0,2440709,"Balaenoptera borealis Lesson, 1828"
137089,"Balaenoptera edeni","Balaenoptera edeni",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera",1,NA,NA,0,2440714,"Balaenoptera edeni Anderson, 1879"
137090,"Balaenoptera musculus","Balaenoptera musculus",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera",1,NA,NA,0,2440735,"Balaenoptera musculus (Linnaeus, 1758)"
343896,"Balaenoptera omurai","Balaenoptera omurai",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera",1,NA,NA,0,2440734,"Balaenoptera omurai Wada, Oishi & Yamada, 2003"
137091,"Balaenoptera physalus","Balaenoptera physalus",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera",1,NA,NA,0,2440718,"Balaenoptera physalus (Linnaeus, 1758)"
1576133,"Balaenoptera ricei","Balaenoptera ricei",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera",1,0,0,0,10840490,"Balaenoptera ricei Rosel, Wilcox, Yamada & Mullin, 2021"
137092,"Megaptera novaeangliae","Megaptera novaeangliae",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Megaptera",1,NA,NA,0,5220086,"Megaptera novaeangliae (Borowski, 1781)"
137112,"Eschrichtius robustus","Eschrichtius robustus",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Eschrichtiidae","Eschrichtius",1,NA,NA,0,2440704,"Eschrichtius robustus (Lilljeborg, 1861)"
231424,"Caperea marginata","Caperea marginata",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Neobalaenidae","Caperea",1,NA,NA,0,2440310,"Caperea marginata (Gray, 1846)"
254976,"Cephalorhynchus commersonii","Cephalorhynchus commersonii",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus",1,NA,NA,0,8697392,"Cephalorhynchus commersonii (Lacépède, 1804)"
254977,"Cephalorhynchus eutropia","Cephalorhynchus eutropia",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus",1,0,0,0,5220042,"Cephalorhynchus eutropia (Gray, 1846)"
254978,"Cephalorhynchus heavisidii","Cephalorhynchus heavisidii",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus",1,0,0,0,5220041,"Cephalorhynchus heavisidii (Gray, 1828)"
254979,"Cephalorhynchus hectori","Cephalorhynchus hectori",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus",1,0,0,0,5220033,"Cephalorhynchus hectori (P.-J.van Bénéden, 1881)"
137095,"Feresa attenuata","Feresa attenuata",NA,"available",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Feresa",1,NA,NA,0,2440530,"Feresa attenuata Gray, 1874"
137096,"Globicephala macrorhynchus","Globicephala macrorhynchus",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Globicephala",1,NA,NA,0,2440605,"Globicephala macrorhynchus Gray, 1846"
137097,"Globicephala melas","Globicephala melas",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Globicephala",1,NA,NA,0,2440596,"Globicephala melas (Traill, 1809)"
137098,"Grampus griseus","Grampus griseus",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Grampus",1,NA,NA,0,5220027,"Grampus griseus (G.Cuvier, 1812)"
137099,"Lagenodelphis hosei","Lagenodelphis hosei",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenodelphis",1,NA,NA,0,2440493,"Lagenodelphis hosei Fraser, 1956"
137101,"Lagenorhynchus albirostris","Lagenorhynchus albirostris",NA,"unavailable",NA,NA,NA,NA,"Species","accepted","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus",1,NA,0,0,5220081,"Lagenorhynchus albirostris (Gray, 1846)"
